,Age,Gender,Country,Education Level,Role,Programming Experience,ML Experience,Company Size,Company Data Scientists,Yearly Compensation,Spent Money (5years),Primary Tool,# of Languages,# of Visual tools,# of ML frameworks,# of ML algorithms
2,3,0,3,3.0,10.0,4.0,2.0,5.0,7.0,18.0,6.0,2.0,3,4,4,3
3,4,0,3,2.0,4.0,5.0,0.0,4.0,1.0,8.0,1.0,0.0,3,1,0,0
4,3,0,3,3.0,3.0,4.0,4.0,3.0,4.0,19.0,5.0,3.0,3,3,4,5
9,4,0,2,4.0,3.0,4.0,3.0,4.0,7.0,15.0,5.0,4.0,3,4,5,2
12,4,0,3,4.0,6.0,2.0,1.0,1.0,2.0,11.0,2.0,3.0,1,1,1,1
14,3,0,3,2.0,10.0,1.0,1.0,1.0,3.0,17.0,4.0,0.0,3,2,2,4
15,3,0,2,2.0,0.0,1.0,1.0,2.0,1.0,15.0,1.0,3.0,2,3,3,3
21,1,1,0,4.0,11.0,3.0,5.0,2.0,2.0,1.0,1.0,1.0,3,1,1,3
22,3,0,0,2.0,3.0,1.0,1.0,2.0,2.0,0.0,4.0,3.0,2,3,5,3
23,8,1,3,3.0,9.0,2.0,2.0,3.0,4.0,19.0,3.0,3.0,1,4,1,3
24,4,0,1,1.0,5.0,1.0,0.0,1.0,3.0,7.0,1.0,2.0,2,1,0,0
25,7,0,3,3.0,4.0,6.0,2.0,2.0,1.0,20.0,1.0,0.0,4,1,1,2
29,3,0,2,2.0,4.0,5.0,6.0,1.0,3.0,14.0,3.0,5.0,1,2,8,4
30,2,0,0,2.0,7.0,3.0,2.0,2.0,4.0,7.0,1.0,3.0,2,2,3,3
31,4,1,0,3.0,5.0,4.0,5.0,4.0,3.0,8.0,5.0,1.0,5,6,6,9
33,3,0,5,4.0,7.0,5.0,1.0,1.0,2.0,7.0,2.0,0.0,2,1,2,3
35,7,1,3,2.0,0.0,0.0,6.0,4.0,7.0,19.0,1.0,0.0,0,0,0,0
36,4,0,0,2.0,0.0,0.0,2.0,5.0,1.0,8.0,1.0,0.0,0,0,0,0
38,1,0,0,3.0,3.0,3.0,2.0,4.0,2.0,4.0,4.0,3.0,4,1,1,2
40,0,0,0,2.0,3.0,3.0,3.0,1.0,7.0,24.0,4.0,0.0,3,3,3,4
42,2,0,0,4.0,5.0,4.0,3.0,1.0,2.0,0.0,2.0,2.0,1,1,1,1
43,4,0,0,3.0,0.0,5.0,5.0,2.0,1.0,7.0,1.0,0.0,5,1,1,2
45,2,1,2,3.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1,2,3,3
46,2,0,0,4.0,0.0,3.0,2.0,2.0,7.0,0.0,2.0,0.0,2,3,2,4
48,1,0,5,2.0,4.0,2.0,1.0,1.0,1.0,0.0,1.0,3.0,5,3,3,4
50,3,0,2,3.0,3.0,3.0,4.0,4.0,7.0,14.0,6.0,3.0,2,2,4,3
52,4,0,3,3.0,0.0,1.0,0.0,1.0,1.0,19.0,4.0,0.0,1,1,0,0
53,2,0,3,3.0,4.0,5.0,0.0,5.0,7.0,23.0,6.0,3.0,6,5,0,0
